Date,Close,High,Low,Open,Volume,MACD,RSI,Pct_Change,MA_5,STD_5,MACD_RSI_Ratio,Change_Pct,Volatility,Sentiment_Score,sentiment_label,Is_News_Day,score_Day
2019-03-07,250.23,252.032,249.375,251.886,94885100,2.702387193437545,52.083787911848056,-0.8365663923024846,253.16559999999998,1.9286484386725642,0.051885381263193496,-0.6574402705986064,1.294432018299922,0.0,0.0,0.0,0.0
2019-03-08,249.73,249.903,247.874,248.347,85795800,2.283094612279058,38.51492019430957,-0.19981616912440048,252.081,2.052470584440717,0.059278186239533646,0.5568821044747797,1.006191664975742,0.0,0.0,0.0,0.0
2019-03-11,253.351,253.515,250.43,250.458,65098900,2.217425557385326,51.82491674029771,1.4499659632402961,251.90619999999998,1.8516162399359304,0.042786861935488904,1.1550838863202617,1.727036093041094,0.0,0.0,0.0,0.0
2019-03-12,254.307,254.834,253.724,253.915,79667500,2.2169677444926776,53.24229830463742,0.3773421064057425,251.9918,1.9716233666688086,0.04163921947560966,0.1543823720536384,0.4902740730108741,0.0,0.0,0.0,0.0
2019-03-13,255.99,256.936,255.044,255.207,80639200,2.3256008797534946,61.188131233925105,0.6617985348417621,252.7216,2.6809428005823377,0.038007385302594274,0.30680976618980493,0.8659578030520011,0.0,0.0,0.0,0.0
2019-03-14,255.826,256.445,255.38,256.017,67518400,2.3711271153025564,56.32049518569459,-0.06406500253917091,253.8408,2.545388123645178,0.042100608446085236,-0.07460442080018222,0.44175181569141964,0.0,0.0,0.0,0.0
2019-03-15,257.09,257.912,256.194,256.386,81309000,2.4806063355725883,58.91447794022502,0.4940858239584678,255.31279999999998,1.4782343183654714,0.04210520779101915,0.27458597583329464,0.7794859417162692,0.0,0.0,0.0,0.0
2019-03-18,258.022,258.324,257.081,257.309,62199800,2.612459213726339,61.93854886475814,0.3625189622311398,256.247,1.4025123885346331,0.04217824378531378,0.2770987412021987,0.5853995786355304,0.0,0.0,0.0,0.0
2019-03-19,258.086,259.877,257.181,259.101,90268100,2.691096548875521,62.506960341520724,0.024804086473251274,257.00280000000004,1.0759085462960598,0.0430527501924924,-0.39173912875673444,1.1766450540980287,0.0,0.0,0.0,0.0
2019-03-20,257.309,259.091,256.185,257.867,84609200,2.6600563237203403,61.3530090483999,-0.3010624365521464,257.26660000000004,0.9151993225482923,0.04335657476264752,-0.21639061997075726,1.2083873551142466,0.0,0.0,0.0,0.0
2019-03-21,260.216,260.627,256.432,256.478,79550400,2.837320462715894,64.22910460345122,1.1297700430221935,258.14459999999997,1.23688835389159,0.04417499637015704,1.4574349456873492,2.2962752992618265,0.0,0.0,0.0,0.0
2019-03-22,255.207,259.365,255.143,258.835,122659300,2.5442901389919825,52.24487929773225,-1.9249392812125343,257.76800000000003,1.7977587435450646,0.04869932083664361,-1.4016651534761475,2.276556097851899,0.0,0.0,0.0,0.0
2019-03-25,255.015,256.066,253.736,254.86,85575200,2.270396977795315,52.61534211253338,-0.07523304611550818,257.1666,2.158345963925355,0.043150854610797804,0.06081770383739021,0.9535538352220359,0.0,0.0,0.0,0.0
2019-03-26,256.916,257.885,255.491,256.797,68125900,2.1815815725524033,60.35958516371535,0.7454463462933658,256.9326,2.09627963306256,0.036143084261351786,0.04634010521928657,0.9833769623089518,0.0,0.0,0.0,0.0
2019-03-27,255.573,257.501,254.001,256.907,72224700,1.9800016217489542,62.534603293764384,-0.5227389496956114,256.5854,2.1611136712336387,0.03166249592162024,-0.5192540491306095,1.5549811360056076,0.0,0.0,0.0,0.0
2019-03-28,256.542,256.999,255.043,256.213,56238500,1.8768036361137774,65.63676430079877,0.37914803206910985,255.85060000000004,0.8370515515743341,0.02859378666981208,0.12840878487818763,0.8355000000000011,0.0,0.0,0.0,0.0
2019-03-29,258.159,258.488,256.935,258.077,82186800,1.9035538908313754,62.15491960764483,0.6303061487008099,256.441,1.2221139472213398,0.030625956929035192,0.031773462958726906,0.6768822521926027,0.0,0.0,0.0,0.0
2019-04-01,261.221,261.522,259.914,260.188,77617900,2.1470812540336794,65.79692926338879,1.1860907425268907,257.6822,2.1843927531451075,0.032631937053457204,0.39702061586238235,0.780290277183225,0.0,0.0,0.0,0.0
2019-04-02,261.349,261.586,260.545,261.413,40070400,2.3236217094881226,63.18067784937769,0.04900065461812542,258.56879999999995,2.646429141313405,0.03677741025551548,-0.02448233255424228,0.46311580625152104,0.0,0.0,0.0,0.0
2019-04-03,261.76,262.985,261.148,262.583,68243200,2.4682431864453918,64.41971228615863,0.15726098052795123,259.8062,2.3220408480457055,0.03831502965243333,-0.3134247076162721,0.8240093041545926,0.0,0.0,0.0,0.0
2019-04-04,262.455,262.71,261.385,262.089,48997500,2.6088640793726654,63.407807267456405,0.26551039119804276,260.98879999999997,1.6534751888047021,0.0411442090777305,0.139647219074431,0.5759602850891666,0.0,0.0,0.0,0.0
2019-04-05,263.725,263.78,262.838,263.131,58621700,2.7906170401632835,64.01572868026548,0.4838924768055586,262.102,1.0269946445783886,0.04359267788860715,0.22574307094186966,0.4598046686728266,0.0,0.0,0.0,0.0
2019-04-08,263.926,264.036,262.628,263.295,53566300,2.917248367960326,64.25642027145783,0.07621575504785927,262.643,1.1517684229013374,0.04540010718985141,0.23965513967222005,0.6500960826421504,0.0,0.0,0.0,0.0
2019-04-09,262.573,263.277,262.016,262.948,66142300,2.8752843271408324,62.498812802735195,-0.5126436955813385,262.8878,0.9133880336377348,0.046005423114453124,-0.14261374872598387,0.5411004219797385,0.0,0.0,0.0,0.0
2019-04-10,263.469,263.56,262.573,262.994,52601500,2.881115527898828,58.539402530582194,0.34123843654907393,263.2296,0.6743209918077472,0.04921668830483321,0.18061248545592898,0.45720965285815124,0.0,0.0,0.0,0.0
2019-04-11,263.396,263.972,262.82,263.963,55093100,2.8470275452688156,79.01637020763953,-0.02770724449554507,263.41780000000006,0.517064502738852,0.03603085712223158,-0.2148028322151238,0.5491413752395665,0.0,0.0,0.0,0.0
2019-04-12,265.178,265.461,263.442,265.032,69727800,2.9300295241739036,82.36418062543797,0.6765478594967123,263.7084,0.9553943164958515,0.035574074821415405,0.05508768752453101,0.908460373379046,0.0,0.0,0.0,0.0
2019-04-15,265.004,265.352,264.191,265.251,49596700,2.947788572898105,78.93945899527716,-0.06561630301155086,263.92400000000004,1.1236020202868076,0.03734239644427342,-0.09311934733514945,0.5263715417839403,0.0,0.0,0.0,0.0
2019-04-16,265.178,265.955,264.575,265.9,52153200,2.9419896672216055,87.50488090589633,0.06565938627340895,264.445,0.9273667020076718,0.033620863622286994,-0.27153065062052656,0.6552144687047085,0.0,0.0,0.0,0.0
2019-04-17,264.529,266.339,264.109,266.311,58268300,2.8521473375067785,81.98638366039268,-0.24474126812933372,264.657,0.7532921080116212,0.03478806126296604,-0.6691424687677123,1.170844139926405,0.0,0.0,0.0,0.0
2019-04-18,265.05,265.324,263.807,265.123,68708500,2.7908161978440376,80.25287558170186,0.19695383114894938,264.9878,0.26785294471522736,0.03477527973440444,-0.027534389698358527,0.6891419785985029,0.0,0.0,0.0,0.0
2019-04-22,265.279,265.434,264.182,264.273,40160100,2.729228368218287,73.71435250116893,0.08639879268061978,265.008,0.28877413317785183,0.037024382302958,0.3806669618159902,0.6559456278279941,0.0,0.0,0.0,0.0
2019-04-23,267.664,267.901,265.416,265.653,52246600,2.8401298878196144,79.20096180523461,0.8990534493872548,265.53999999999996,1.221961742442312,0.035859790374817166,0.7570025559658529,1.305076370689977,0.0,0.0,0.0,0.0
2019-04-24,267.07,267.92,266.924,267.582,50392900,2.847267774825525,74.14514368861421,-0.22192001912845205,265.9184,1.3662617977505884,0.03840127125227696,-0.1913432144165155,0.4605417100184081,0.0,0.0,0.0,0.0
2019-04-25,266.905,267.572,265.699,266.969,57770900,2.8072502472680867,71.2593158799924,-0.06178155539746655,266.3936,1.1598014054107244,0.03939485262524508,-0.023972820814409677,0.7846474261305666,0.0,0.0,0.0,0.0
2019-04-26,268.148,268.221,266.165,266.951,50916400,2.8430627228595995,71.18497940415756,0.46570877278433453,267.0132,1.0878527933469406,0.039939081905438475,0.44839689680877864,0.9928183368572481,0.0,0.0,0.0,0.0
2019-04-29,268.569,269.099,268.148,268.24,57197700,2.872305400626658,71.77971667135769,0.15700284917283813,267.67119999999994,0.7039067409769589,0.040015557790196686,0.12265135699373983,0.4298379539624852,0.0,0.0,0.0,0.0
2019-04-30,268.706,268.998,266.786,268.221,81111700,2.8734122803515447,82.47379010907576,0.051011099568443186,267.87960000000004,0.8419538585889537,0.03484030837616789,0.18082103936679592,0.9816137648450806,0.0,0.0,0.0,0.0
2019-05-01,266.686,269.556,266.677,269.345,71671900,2.680394453579254,65.22191728967533,-0.7517509843472214,267.8028,0.9454209115483108,0.04109652958643646,-0.9872097124505924,1.6010061419828074,0.0,0.0,0.0,0.0
2019-05-02,266.11,267.499,264.593,266.567,65030200,2.4526751368365467,62.25835591689251,-0.21598434113525578,267.6438,1.1734995526172185,0.039395115735317135,-0.17143907535441133,1.2127652630799317,0.0,0.0,0.0,0.0
2019-05-03,268.715,268.998,266.22,267.609,56543700,2.4541181207351315,64.87009165055068,0.978918492352765,267.7572,1.25870556525059,0.037831272598707645,0.41328953809475566,1.261753937976796,0.0,0.0,0.0,0.0
2019-05-06,267.609,268.057,264.026,264.346,107198100,2.3390535853766323,60.15594541910317,-0.4115884859423491,267.5652,1.1743064761776507,0.03888316556377885,1.2343670795094221,2.1175584210752367,0.0,0.0,0.0,0.0
2019-05-07,263.14,265.772,261.203,265.169,144729900,1.8657460025701198,44.04789719626165,-1.669973730330443,266.452,2.0976702553053026,0.04235720934093684,-0.7651723994886267,2.0769520938144006,0.0,0.0,0.0,0.0
2019-05-08,262.774,264.511,262.171,262.774,91568300,1.4444623294018584,44.788263942507584,-0.13908945808314144,265.6696,2.64636832281383,0.032250911338203264,0.0,1.0098331545359498,0.0,0.0,0.0,0.0
2019-05-09,261.979,262.592,258.909,260.672,103471100,1.034516860915005,41.02624043013258,-0.3025413473174754,264.8434,3.083285796028717,0.025215980067117786,0.5013963908666674,1.6296210193375167,0.0,0.0,0.0,0.0
2019-05-10,263.295,264.063,257.995,261.029,112429300,0.8065252048535854,44.548851522145355,0.5023303394547041,263.7594,2.2113107651328527,0.01810428725536638,0.8681027778522767,2.724052067539579,0.0,0.0,0.0,0.0
2019-05-13,256.679,259.082,255.829,258.104,127290500,0.09093601329720968,25.511614427749848,-2.5127708463890452,261.5734,2.782950107348754,0.003564494656139656,-0.5521030282366842,1.4503347889366756,0.0,0.0,0.0,0.0
2019-05-14,259.0,260.554,257.583,257.711,77003200,-0.28559609989707724,33.29607550919036,0.9042422636834413,260.74539999999996,2.816002361503342,-0.008577470333350464,0.5001726740418482,1.384744260384063,0.0,0.0,0.0,0.0
2019-05-15,260.517,261.166,257.136,257.346,73956400,-0.4563309908623978,37.478438137055136,0.5857142857142783,260.294,2.5805821048733075,-0.012175827316859848,1.2321932340117943,2.0973197777163017,0.0,0.0,0.0,0.0
2019-05-16,262.93,264.31,261.157,261.23,76749600,-0.39240726166588047,40.220406327310876,0.92623514012522,260.4842,2.7643266268645625,-0.009756422112509192,0.65076752287256,1.5102722436699967,0.0,0.0,0.0,0.0
2019-05-17,261.23,263.752,260.572,260.59,100353000,-0.4734652258376286,36.87448581750549,-0.6465599208914874,260.0712,2.364782378992265,-0.012839913976857669,0.24559653094901696,1.5086974514461222,0.0,0.0,0.0,0.0
2019-05-20,259.503,261.34,258.744,259.603,62877600,-0.6693429444811727,34.42650692117641,-0.661103242353489,260.636,1.5483554178522136,-0.01944266219090171,-0.03852035608218038,1.097531928161222,0.0,0.0,0.0,0.0
2019-05-21,261.842,262.226,260.965,261.221,46847100,-0.6285936591508516,41.89044398312464,0.9013383274952602,261.20439999999996,1.2992464354356894,-0.015005657600670871,0.2377297384207169,0.5750295644573468,0.0,0.0,0.0,0.0
2019-05-22,261.038,262.007,260.554,260.874,49482500,-0.6536408725341971,41.57307104406195,-0.3070553998212544,261.3086,1.2503046828642803,-0.015722698759526917,0.06286559795149661,0.6256603844472456,0.0,0.0,0.0,0.0
2019-05-23,257.848,258.826,256.414,258.781,98733800,-0.9202887933042234,32.289188043938964,-1.222044300063596,260.2922,1.6151251344686093,-0.028501453553180064,-0.36053651543196474,1.1293725027642685,0.0,0.0,0.0,0.0
2019-05-24,258.433,259.731,257.803,259.311,55268100,-1.072046693698951,34.786789574905555,0.2268778505165825,259.7328,1.6916730476047008,-0.03081763815515481,-0.3385895700529426,0.8669984621285823,0.0,0.0,0.0,0.0
2019-05-28,256.03,259.685,256.012,258.717,70029400,-1.370420584963199,37.34515164459635,-0.9298348121176581,259.0382,2.3818377778497144,-0.03669607765969513,-1.0385865636970173,1.8780374508157942,0.0,0.0,0.0,0.0
2019-05-29,254.312,255.308,252.886,254.897,104972900,-1.7256204076350627,35.63034913734552,-0.6710151154161514,257.5322,2.5410675315685065,-0.04843119557945545,-0.22950446650999404,1.0585699079418402,0.0,0.0,0.0,0.0
2019-05-30,255.006,255.929,253.891,255.079,62523800,-1.928883853800869,38.11812016494569,0.27289313913616553,256.3258,1.7777896950964835,-0.0506028063675269,-0.028618584830584836,0.8360507859374781,0.0,0.0,0.0,0.0
2019-05-31,251.57,253.261,251.542,252.42,86862800,-2.3402511252550084,31.367002510885783,-1.3474192764091897,255.07019999999997,2.502999640429617,-0.07460869505917354,-0.33674035337928626,0.8173071128203058,0.0,0.0,0.0,0.0
2019-06-03,250.93,252.74,249.578,251.607,96428000,-2.686932023115105,38.72170125946566,-0.25440235322176097,253.56959999999998,2.2155055405009216,-0.06939085669585023,-0.26907041536999865,1.3216500734561594,0.0,0.0,0.0,0.0
2019-06-04,256.377,256.514,252.804,253.261,77231900,-2.493409284707809,45.416419110194674,2.1707249033595,253.63899999999998,2.315043412117871,-0.054901054146475205,1.230351297673157,1.9800991557663699,0.0,0.0,0.0,0.0
2019-06-05,258.598,258.625,256.185,258.022,71169700,-2.1362001958165138,46.72715489306548,0.8663023594160268,254.4962,3.2366068961167733,-0.045716461888278485,0.2232367782592267,1.1491609982939741,0.0,0.0,0.0,0.0
2019-06-06,260.279,260.965,258.241,258.899,69430400,-1.6978944971602346,45.36295259751615,0.6500436971670354,255.55079999999998,4.169006800185266,-0.037429100178395416,0.5330263925314488,1.246660071283797,0.0,0.0,0.0,0.0
