Date,Close,High,Low,Open,Volume,MACD,RSI
19/08/2020,315.877,318.106,315.305,317.581,68054200,5.041,79.037
20/08/2020,316.86,317.347,313.994,314.125,42207800,4.932,77.553
21/08/2020,317.984,318.209,316.176,316.523,55106600,4.879,76.369
24/08/2020,321.206,321.281,317.956,320.457,48588700,5.039,78.654
25/08/2020,322.33,322.415,320.597,321.778,38463400,5.197,77.813
26/08/2020,325.562,325.833,322.377,322.93,50790200,5.52,79.009
27/08/2020,326.274,327.744,324.588,326.442,58034100,5.766,79.477
28/08/2020,328.381,328.512,326.105,327.313,48588900,6.061,80.52
31/08/2020,327.192,329.056,326.958,328.166,66099200,6.129,85.751
01/09/2020,330.273,330.376,327.126,328.035,54908700,6.358,84.866
02/09/2020,335.051,336.034,331.051,332.212,69540000,6.846,89.783
03/09/2020,323.52,333.814,320.897,333.336,148011100,6.23,61.095
04/09/2020,320.878,325.805,313.666,324.213,139156300,5.466,55.784
08/09/2020,312.111,320.944,311.802,315.39,114465300,4.106,44.449
09/09/2020,318.275,320.775,315.296,316.176,91462300,3.485,52.367
10/09/2020,312.748,320.841,311.774,320.176,90569500,2.518,46.275
11/09/2020,312.907,315.633,310.041,314.556,84680200,1.745,45.319
14/09/2020,317.029,318.827,313.057,316.12,65605700,1.447,46.211
15/09/2020,318.63,320.363,317.038,319.52,52920900,1.326,46.673
16/09/2020,317.366,321.337,317.085,319.886,82096000,1.114,42.361
17/09/2020,314.575,316.317,311.905,312.439,91523300,0.714,39.502
18/09/2020,310.953,315.505,308.433,315.392,105877900,0.103,34.775
21/09/2020,307.492,307.643,302.564,306.298,99450800,-0.654,33.448
22/09/2020,310.624,311.188,306.448,308.997,63612100,-0.989,33.504
23/09/2020,303.42,311.47,302.912,311.188,93112200,-1.814,24.485
24/09/2020,304.229,307.332,300.749,302.085,76681300,-2.376,31.184
25/09/2020,309.147,309.947,302.48,303.364,71069400,-2.397,39.045
28/09/2020,314.282,315.006,312.364,313.37,64584600,-1.976,52.175
29/09/2020,312.571,314.828,311.865,314.075,51304000,-1.761,43.726
30/09/2020,314.941,318.138,313.05,313.248,104081100,-1.383,52.592
01/10/2020,316.962,318.561,315.053,317.574,88698700,-0.91,54.591
02/10/2020,313.953,316.934,311.461,311.94,89431100,-0.769,46.428
05/10/2020,319.52,319.708,315.994,316.041,45713100,-0.205,50.946
06/10/2020,314.978,321.787,314.461,319.661,90128900,-0.124,47.626
07/10/2020,320.461,321.279,317.95,317.978,56999600,0.379,55.555
08/10/2020,323.301,323.367,321.495,322.426,45242500,0.995,61.827
09/10/2020,326.188,326.658,324.345,324.975,59528600,1.696,68.106
12/10/2020,331.436,332.931,328.266,328.765,80388500,2.645,69.361
13/10/2020,329.273,331.473,328.295,331.295,73255500,3.186,76.54
14/10/2020,327.204,330.965,326.461,329.856,57727900,3.408,72.991
15/10/2020,326.799,327.288,322.69,323.235,60357700,3.511,69.419
16/10/2020,326.602,329.856,326.423,328.172,89501900,3.536,65.204
19/10/2020,321.636,328.52,320.724,327.881,68425600,3.12,60.357
20/10/2020,322.925,326.216,322.229,323,60051900,2.86,59.352
21/10/2020,322.313,325.078,322.003,322.878,63575000,2.576,56.482
